Stage_Name,Full_Name,Korean_Name,Group,Country,File_Name
Romin,Choi Youngmin,최영민,E'LAST,South Korea,male_idols/Romin_ChoiYoungmin.jpeg
Yejun,Oh Yejun,오예준,E'LAST,South Korea,male_idols/Yejun_OhYejun.jpeg
Minho,Lee Minho,이민호,MY.st,South Korea,male_idols/Minho_LeeMinho.jpeg
Juntae,Kim Juntae,김준태,MY.st,South Korea,male_idols/Juntae_KimJuntae.jpeg
Woncheol,Jung Woncheol,정원철,MY.st,South Korea,male_idols/Woncheol_JungWoncheol.jpeg
Woojin,Lee Woojin,이우진,MY.st,South Korea,male_idols/Woojin_LeeWoojin.png
Keonwoo,Kim Keonwoo,김건우,MY.st,South Korea,male_idols/Keonwoo_KimKeonwoo.jpeg
Junghwan,So Junghwan,소정환,Treasure,South Korea,male_idols/Junghwan_SoJunghwan.jpeg
Lee Hyeop,Lee Hyeop,이협,DRIPPIN,South Korea,male_idols/LeeHyeop_LeeHyeop.png
Yunseong,Hwang Yunseong,황윤성,DRIPPIN,South Korea,male_idols/Yunseong_HwangYunseong.png
Changuk,Joo Changuk,주창욱,DRIPPIN,South Korea,male_idols/Changuk_JooChanguk.png
Dongyun,Kim Dongyun,김동윤,DRIPPIN,South Korea,male_idols/Dongyun_KimDongyun.png
Minseo,Kim Minseo,김민서,DRIPPIN,South Korea,male_idols/Minseo_KimMinseo.png
Alex,Alexander Schmidt Lee,알렉산더 슈미트 리,DRIPPIN,Germany,male_idols/Alex_AlexanderSchmidtLee.png
Dongjun,Hwang Dongjun,황동준,,South Korea,male_idols/Dongjun_HwangDongjun.jpeg
Junhyung,Son Junhyung,손준형,Ghost9,South Korea,male_idols/Junhyung_SonJunhyung.jpeg
Kangsung,Lee Kangsung,이강성,Ghost9,South Korea,male_idols/Kangsung_LeeKangsung.jpeg
Junseong,Choi Junseong,최준성,Ghost9,South Korea,male_idols/Junseong_ChoiJunseong.png
Prince,Pasidh Vataniyapromote,파싯 와타니야쁘라못,Ghost9,Thailand,male_idols/Prince_PasidhVataniyapromote.png
Keeho,Yoon Kiho,윤기호,P1Harmony,Canada,male_idols/Keeho_YoonKiho.jpeg
Jiung,Choi Jiwoong,최지웅,P1Harmony,South Korea,male_idols/Jiung_ChoiJiwoong.jpeg
Intak,Hwang Intak,황인탁,P1Harmony,South Korea,male_idols/Intak_HwangIntak.jpeg
Soul,Haku Shota,하쿠 쇼타,P1Harmony,Japan,male_idols/Soul_HakuShota.jpeg
Jongseob,Kim Jongseob,김종섭,P1Harmony,South Korea,male_idols/Jongseob_KimJongseob.jpeg
Jungwon,Yang Jungwon,양정원,ENHYPEN,South Korea,male_idols/Jungwon_YangJungwon.jpeg
Jay,Park Jongsung,박종성,ENHYPEN,South Korea,male_idols/Jay_ParkJongsung.jpeg
Jake,Shim Jaeyoon,심재윤,ENHYPEN,South Korea,male_idols/Jake_ShimJaeyoon.jpeg
Ni-Ki,Nishimura Riki,니시무라 리키,ENHYPEN,Japan,male_idols/Ni-Ki_NishimuraRiki.jpeg
Heeseung,Lee Heeseung,이희승,ENHYPEN,South Korea,male_idols/Heeseung_LeeHeeseung.jpeg
Sunghoon,Park Sunghoon,박성훈,ENHYPEN,South Korea,male_idols/Sunghoon_ParkSunghoon.jpeg
Sunoo,Kim Sunwoo,김선우,ENHYPEN,South Korea,male_idols/Sunoo_KimSunwoo.jpeg
Shin,Kim Suhyun,김수현,Ghost9,South Korea,male_idols/Shin_KimSuhyun.jpeg
Theo,Choi Taeyang,최태양,P1Harmony,South Korea,male_idols/Theo_ChoiTaeyang.jpeg
E-Chan,Lee Changmin,이창민,DKB,South Korea,male_idols/E-Chan_LeeChangmin.jpeg
D1,Jang Dongil,장동일,DKB,South Korea,male_idols/D1_JangDongil.jpeg
Teo,Jang Sungsik,장성식,DKB,South Korea,male_idols/Teo_JangSungsik.jpeg
GK,Kim Kwanghyun,김광현,DKB,South Korea,male_idols/GK_KimKwanghyun.jpeg
Heechan,Yang Heechan,양희찬,DKB,South Korea,male_idols/Heechan_YangHeechan.jpeg
Lune,Jung Sungmin,정성민,DKB,South Korea,male_idols/Lune_JungSungmin.jpeg
Junseo,Hwang Junseo,황준서,DKB,South Korea,male_idols/Junseo_HwangJunseo.jpeg
Yuku,Amanumu Yuku,아마누마 유쿠,DKB,Japan,male_idols/Yuku_AmanumuYuku.jpeg
Harry-June,Han Harry-June,한해리준,DKB,South Korea,male_idols/Harry-June_HanHarry-June.jpeg
Nason,Kim Duyeop,김두엽,CHECKMATE,South Korea,male_idols/Nason_KimDuyeop.png
Yongseok,Choi Yongseok,최용석,CHECKMATE,South Korea,male_idols/Yongseok_ChoiYongseok.png
Noah,Hwang Seundae,황승대 ,CHECKMATE,South Korea,male_idols/Noah_HwangSeundae.webp
J-Min,Jeon Minwook,전민욱,BAE173,South Korea,male_idols/J-Min_JeonMinwook.jpeg
Yoojun,Jung Gun,정건,BAE173,South Korea,male_idols/Yoojun_JungGun.jpeg
Muzin,Kim Hyunwoo,김현우,BAE173,South Korea,male_idols/Muzin_KimHyunwoo.jpeg
Junseo,Park Junseo,박준서,BAE173,South Korea,male_idols/Junseo_ParkJunseo.png
Youngseo,Ryu Youngseo,류영서,BAE173,South Korea,male_idols/Youngseo_RyuYoungseo.png
Doha,Na Gyumin,나규민,BAE173,South Korea,male_idols/Doha_NaGyumin.png
Bit,No Minjae,노민재,BAE173,South Korea,male_idols/Bit_NoMinjae.png
Shotaro,Osaki Shotaro,오사키 쇼타로,RIIZE,Japan,male_idols/Shotaro_OsakiShotaro.jpeg
Sungchan,Jung Sungchan,정성찬,RIIZE,South Korea,male_idols/Sungchan_JungSungchan.png
Noah,Song Yubin,송유빈,T1419,South Korea,male_idols/Noah_SongYubin.jpeg
Sian,Choi Changmin,최창민 ,T1419,South Korea,male_idols/Sian_ChoiChangmin.jpeg
Kevin,Baek Seungbin,백승빈,T1419,South Korea,male_idols/Kevin_BaekSeungbin.png
Gunwoo,Kim Gunwoo,김건우,T1419,South Korea,male_idols/Gunwoo_KimGunwoo.jpeg
Leo,Hayase Leo,하야세 레오,T1419,Japan,male_idols/Leo_HayaseLeo.jpeg
On,Choi Juhwan,최주환,T1419,South Korea,male_idols/On_ChoiJuhwan.jpeg
Zero,Nasukawa Shota,나스카와 쇼타,T1419,Japan,male_idols/Zero_NasukawaShota.jpeg
Kairi,Imai Kairi,이마이 카이리,T1419,Japan,male_idols/Kairi_ImaiKairi.png
Kio,Udo Musashi,우도 무사시,T1419,South Korea,male_idols/Kio_UdoMusashi.jpeg
Louis,Yang Dongsik,양동식,Kingdom,South Korea,male_idols/Louis_YangDongsik.png
Chiwoo,Guk Seungjun,국승준,Kingdom,South Korea,male_idols/Chiwoo_GukSeungjun.png
Ivan,Park Yooseong,박유성,Kingdom,South Korea,male_idols/Ivan_ParkYooseong.png
Mujin,Ko Sungho,고성호,Kingdom,South Korea,male_idols/Mujin_KoSungho.png
Jahan,Im Jihun,임지훈,Kingdom,South Korea,male_idols/Jahan_ImJihun.png
Eric,Moon Junghyuk,문정혁,Shinhwa,South Korea,male_idols/Eric_MoonJunghyuk.jpeg
Minwoo,Lee Minwoo,이민우,Shinhwa,South Korea,male_idols/Minwoo_LeeMinwoo.jpeg
Dongwan,Kim Dongwan,김동완,Shinhwa,South Korea,male_idols/Dongwan_KimDongwan.png
Shin Hyesung,Jung Pilkyo,정필교,Shinhwa,South Korea,male_idols/ShinHyesung_JungPilkyo.jpeg
Jun Jin,Park Choongjae,박충재,Shinhwa,South Korea,male_idols/JunJin_ParkChoongjae.png
Andy,Lee Sunho,이선호,Shinhwa,South Korea,male_idols/Andy_LeeSunho.png
Tan,Choi Seokwon,최석원,Ciipher,South Korea,male_idols/Tan_ChoiSeokwon.png
Hwi,Lee Choonghyun,이충현,Ciipher,South Korea,male_idols/Hwi_LeeChoonghyun.png
Hyunbin,Moon Hyunbin,문현빈,Ciipher,South Korea,male_idols/Hyunbin_MoonHyunbin.png
Keita,Terazono Keita,테라조노 케이타,Ciipher,Japan,male_idols/Keita_TerazonoKeita.jpeg
TAG,Yeom Taekyun,염태균,ONE PACT,South Korea,male_idols/TAG_YeomTaekyun.png
Dohwan,Gil Dohwan,길도환,Ciipher,South Korea,male_idols/Dohwan_GilDohwan.png
Lien,Shimada Sho,시마다 쇼,Mirae,Japan,male_idols/Lien_ShimadaSho.jpeg
Junhyuk,Lee Junhyuk,이준혁,Mirae,South Korea,male_idols/Junhyuk_LeeJunhyuk.jpeg
Douhyun,Yoo Douhyun,유도현,Mirae,South Korea,male_idols/Douhyun_YooDouhyun.jpeg
Khael,Lee Sangmin,이상민,Mirae,South Korea,male_idols/Khael_LeeSangmin.jpeg
Siyoung,Park Siyoung,박시영,Mirae,South Korea,male_idols/Siyoung_ParkSiyoung.jpeg
Yubin,Jang Yubin,장유빈,Mirae,South Korea,male_idols/Yubin_JangYubin.jpeg
Juhan,Hong Seunghyun,홍승현,BLITZERS,South Korea,male_idols/Juhan_HongSeunghyun.png
Jinhwa,Choi Jinhwa,최진화,BLITZERS,South Korea,male_idols/Jinhwa_ChoiJinhwa.png
Sya,Lee Junyoung,이준영,BLITZERS,South Korea,male_idols/Sya_LeeJunyoung.png
Lutan,Choi Gyeongseok,최경석,BLITZERS,South Korea,male_idols/Lutan_ChoiGyeongseok.png
Wooju,Cho Wooju,조우주,BLITZERS,South Korea,male_idols/Wooju_ChoWooju.png
Go_U,Jang Junho,고유,BLITZERS,South Korea,male_idols/Go_U_JangJunho.jpeg
Chris,Han Chris,한 크리스,BLITZERS,South Korea,male_idols/Chris_HanChris.jpg
Andy,Lui Chunyeung,루이쯔양,7 O'clock,Hong Kong,male_idols/Andy_LuiChunyeung.png
Hangyeom,Song Hangyeom,송한겸,OMEGA X,South Korea,male_idols/Hangyeom_SongHangyeom.png
Hyun,Park Sunghyun,박성현,7 O'clock,South Korea,male_idols/Hyun_ParkSunghyun.png
2Soul,Kim Younghoon,김영훈,7 O'clock,South Korea,male_idols/2Soul_KimYounghoon.jpeg
