Stage_Name,Full_Name,Korean_Name,Group,Country,File_Name
JinE,Shin Hyejin,신혜진,,South Korea,female_idols/JinE_ShinHyejin.jpeg
Mimi,Kim Mihyun,김미현,Oh My Girl,South Korea,female_idols/Mimi_KimMihyun.jpeg
Yooa,Yoo Siah,유시아,Oh My Girl,South Korea,female_idols/Yooa_YooSiah.jpeg
Seunghee,Hyun Seunghee,현승희,Oh My Girl,South Korea,female_idols/Seunghee_HyunSeunghee.jpeg
Jiho,Kim Jiho,김지호,,South Korea,female_idols/Jiho_KimJiho.png
Yubin,Bae Yubin,배유빈,Oh My Girl,South Korea,female_idols/Yubin_BaeYubin.png
Arin,Choi Yewon,최예원,Oh My Girl,South Korea,female_idols/Arin_ChoiYewon.png
Babysoul,Lee Soojung,이수정,Lovelyz,South Korea,female_idols/Babysoul_LeeSoojung.jpeg
Jiae,Yoo Jiae,유지애,Lovelyz,South Korea,female_idols/Jiae_YooJiae.png
Jisoo,Seo Jisoo,서지수,Lovelyz,South Korea,female_idols/Jisoo_SeoJisoo.jpeg
Mijoo,Lee Mijoo,이미주,Lovelyz,South Korea,female_idols/Mijoo_LeeMijoo.jpeg
Kei,Kim Jiyeon,김지연,Lovelyz,South Korea,female_idols/Kei_KimJiyeon.jpeg
JIN,Park Myungeun,박명은,Lovelyz,South Korea,female_idols/JIN_ParkMyungeun.png
Sujeong,Ryu Sujeong,류수정,Lovelyz,South Korea,female_idols/Sujeong_RyuSujeong.png
Yein,Jeong Yein,정예인,Lovelyz,South Korea,female_idols/Yein_JeongYein.jpeg
Yujeong,Kim Yujeong,김유정,,South Korea,female_idols/Yujeong_KimYujeong.jpeg
Soyeon,Jung Soyeon,정소연,LABOUM,South Korea,female_idols/Soyeon_JungSoyeon.png
ZN,Bae Jinye,배진예,LABOUM,South Korea,female_idols/ZN_BaeJinye.jpeg
Haein,Yeom Haein,염해인,LABOUM,South Korea,female_idols/Haein_YeomHaein.png
Solbin,Ahn Solbin,안솔빈,LABOUM,South Korea,female_idols/Solbin_AhnSolbin.jpeg
Yulhee,Kim Yulhee,김율희,,South Korea,female_idols/Yulhee_KimYulhee.png
Boram,Jeon Boram,전보람,,South Korea,female_idols/Boram_JeonBoram.jpeg
Qri,Lee Jihyun,이지현,T-ara,South Korea,female_idols/Qri_LeeJihyun.jpeg
Soyeon,Park Soyeon,박소연,,South Korea,female_idols/Soyeon_ParkSoyeon.png
Eunjung,Ham Eunjung,함은정,T-ara,South Korea,female_idols/Eunjung_HamEunjung.png
Hyomin,Park Sunyoung,박선영,T-ara,South Korea,female_idols/Hyomin_ParkSunyoung.png
Jiyeon,Park Jiyeon,박지연,T-ara,South Korea,female_idols/Jiyeon_ParkJiyeon.jpeg
Solar,Kim Yongsun,김용선,Mamamoo,South Korea,female_idols/Solar_KimYongsun.png
Moonbyul,Moon Byulyi,문별이,Mamamoo,South Korea,female_idols/Moonbyul_MoonByulyi.jpeg
Wheein,Jung Wheein,정휘인,Mamamoo,South Korea,female_idols/Wheein_JungWheein.png
Hwasa,Ahn Hyejin,안혜진,Mamamoo,South Korea,female_idols/Hwasa_AhnHyejin.jpeg
Yeoeun,Jung Jieun,정지은,MELODYDAY,South Korea,female_idols/Yeoeun_JungJieun.png
Yein,Ahn Yein,안예인,MELODYDAY,South Korea,female_idols/Yein_AhnYein.png
Chahee,Park Sooyoung,박수영,MELODYDAY,South Korea,female_idols/Chahee_ParkSooyoung.webp
Yoomin,Na Yoomin,나유민,MELODYDAY,South Korea,female_idols/Yoomin_NaYoomin.png
Elkie,Chong Ting Yan,쫑딩얀,,Hong Kong,female_idols/Elkie_ChongTingYan.jpeg
Eunbin,Kwon Eunbin,권은빈,CLC,South Korea,female_idols/Eunbin_KwonEunbin.jpeg
Jisoo,Kim Jisoo,김지수,BLACKPINK,South Korea,female_idols/Jisoo_KimJisoo.jpeg
Jennie,Kim Jennie,김제니,BLACKPINK,South Korea,female_idols/Jennie_KimJennie.jpeg
Rosé,Roseanne Park,로잔느 박,BLACKPINK,South Korea,female_idols/Rosé_RoseannePark.jpeg
Lisa,Pranpriya Manoban,쁘란쁘리야 마노반,BLACKPINK,Thailand,female_idols/Lisa_PranpriyaManoban.jpeg
Hyeji,Jeong Hyeji,정혜지,4TEN,South Korea,female_idols/Hyeji_JeongHyeji.png
Heeo,Gwak Heeoh,곽히오,4TEN,South Korea,female_idols/Heeo_GwakHeeoh.jpeg
Yoon,Heo Yoon,허윤,4TEN,South Korea,female_idols/Yoon_HeoYoon.png
Hyejin,Baek Hyejin,백혜진 ,4TEN,South Korea,female_idols/Hyejin_BaekHyejin.png
Uee,Kim Yujin,김유진,,South Korea,female_idols/Uee_KimYujin.png
Raina,Oh Hyerin,오혜린,After School,South Korea,female_idols/Raina_OhHyerin.jpeg
Nana,Im Jinah,임진아,After School,South Korea,female_idols/Nana_ImJinah.png
Lizzy,Park Sooyoung,박수영,After School,South Korea,female_idols/Lizzy_ParkSooyoung.jpeg
E-Young,Noh Yiyoung,노이영,After School,South Korea,female_idols/E-Young_NohYiyoung.jpeg
Kaeun,Lee Kaeun,이가은,After School,South Korea,female_idols/Kaeun_LeeKaeun.jpeg
Kahi,Park Jiyoung,박지영,,South Korea,female_idols/Kahi_ParkJiyoung.jpeg
Jooyeon,Lee Jooyeon,이주연,,South Korea,female_idols/Jooyeon_LeeJooyeon.png
Jungah,Kim Jungah,김정아,,South Korea,female_idols/Jungah_KimJungah.png
Soyoung,Yoo Soyoung,유소영,,South Korea,female_idols/Soyoung_YooSoyoung.png
Bekah,Rebecca Kim,김레베카,,South Korea,female_idols/Bekah_RebeccaKim.png
Chaewon,Kim Chaewon,김채원,APRIL,South Korea,female_idols/Chaewon_KimChaewon.jpeg
Naeun,Lee Naeun,이나은,APRIL,South Korea,female_idols/Naeun_LeeNaeun.jpeg
Yena,Yang Yena,양예나,APRIL,South Korea,female_idols/Yena_YangYena.png
Jinsol,Lee Jinsol,이진솔,APRIL,South Korea,female_idols/Jinsol_LeeJinsol.jpeg
Hyunjoo,Lee Hyunjoo,이현주,UNI.T,South Korea,female_idols/Hyunjoo_LeeHyunjoo.jpeg
Monika,Kang Yeh,강예,BADKIZ,South Korea,female_idols/Monika_KangYeh.jpeg
LuA,Jo Hankyeung,조한경,BADKIZ,South Korea,female_idols/LuA_JoHankyeung.jpeg
K.Me,Na Miri,나미리,BADKIZ,South Korea,female_idols/K.Me_NaMiri.png
Somin,Jang Somin,장소민,BADKIZ,South Korea,female_idols/Somin_JangSomin.png
U-Si,Yoo Jiyeon,윤지연,BADKIZ,South Korea,female_idols/U-Si_YooJiyeon.webp
Gabin,Kim Gabin,김가빈,Blady,South Korea,female_idols/Gabin_KimGabin.jpeg
