Stage_Name,Full_Name,Korean_Name,Group,Country,File_Name
Changbin,Seo Changbin,서창빈,Stray Kids,South Korea,male_idolsV2/Changbin_SeoChangbin.jpeg
Hyunjin,Hwang Hyunjin,황현진,Stray Kids,South Korea,male_idolsV2/Hyunjin_HwangHyunjin.jpeg
Han,Han Jisung,한지성,Stray Kids,South Korea,male_idolsV2/Han_HanJisung.webp
Felix,Lee Youngbok,이용복,Stray Kids,South Korea,male_idolsV2/Felix_LeeYoungbok.jpeg
Seungmin,Kim Seungmin,김승민,Stray Kids,South Korea,male_idolsV2/Seungmin_KimSeungmin.jpeg
I.N,Yang Jeongin,양정인,Stray Kids,South Korea,male_idolsV2/I.N_YangJeongin.jpeg
Samuel,Kim Samuel,김사무엘,,South Korea,male_idolsV2/Samuel_KimSamuel.png
Seunghwan,Lee Seunghwan,이승환,Romeo,South Korea,male_idolsV2/Seunghwan_LeeSeunghwan.png
Yunsung,Hwang Yunsung,황윤성,Romeo,South Korea,male_idolsV2/Yunsung_HwangYunsung.png
Milo,Kim Minhak,김민학,Romeo,South Korea,male_idolsV2/Milo_KimMinhak.jpeg
Minsung,Kim Minhwi,김민휘,Romeo,South Korea,male_idolsV2/Minsung_KimMinhwi.png
Kyle,Ma Jaekyung,마재경,Romeo,South Korea,male_idolsV2/Kyle_MaJaekyung.png
Hyunkyung,Kim Hyunjong,김현종,Romeo,South Korea,male_idolsV2/Hyunkyung_KimHyunjong.jpeg
Kangmin,Noh Kangmin,노강민,Romeo,South Korea,male_idolsV2/Kangmin_NohKangmin.jpeg
Yonghoon,Jin Yonghoon,진용훈,Onewe,South Korea,male_idolsV2/Yonghoon_JinYonghoon.webp
Harin,Ju Harin,주하린,Onewe,South Korea,male_idolsV2/Harin_JuHarin.jpeg
Kanghyun,Kang Hyungu,강현구,Onewe,South Korea,male_idolsV2/Kanghyun_KangHyungu.webp
Dongmyeong,Son Dongmyeong,곤동명,Onewe,South Korea,male_idolsV2/Dongmyeong_SonDongmyeong.jpeg
Cya,Lee Giwook,이기욱,Onewe,South Korea,male_idolsV2/Cya_LeeGiwook.jpeg
Ravn,Kim Yoongjo,김영조,Oneus,South Korea,male_idolsV2/Ravn_KimYoongjo.jpeg
Seoho,Lee Seoho,이서호,Oneus,South Korea,male_idolsV2/Seoho_LeeSeoho.webp
Leedo,Kim Geonhak,김건학,Oneus,South Korea,male_idolsV2/Leedo_KimGeonhak.webp
Keonhee,Lee Keonhee,김건희,Oneus,South Korea,male_idolsV2/Keonhee_LeeKeonhee.webp
Hwanwoong,Yeo Hwanwoong,여환웅,Oneus,South Korea,male_idolsV2/Hwanwoong_YeoHwanwoong.webp
Xion,Son Dongju,손동주,Oneus,South Korea,male_idolsV2/Xion_SonDongju.webp
Hyunwook,Ji Hyunwook,지현욱,D-CRUNCH,South Korea,male_idolsV2/Hyunwook_JiHyunwook.webp
